food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
orange grapefruit juice,106,200.0,9.0,1.0,98.0,25400.0,25100.0,1500.0,200.0,0.0,82.0,218900.0,0.0,0.1,0.005,0.0,0.04,0.8,0.3,0.079,71.9,0.0,0.3,0.066,19.8,1.1,24.7,34.6,390.3,0.2,120.1,drink,68
orange juice sainsburys,14,88.0,2500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,drink,69
cranberry apple juice,154,300.0,66.0,14.0,100.0,38800.0,35500.0,0.0,0.0,0.0,61.0,205300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,0.3,0.075,7.4,0.2,2.5,4.9,41.7,0.015,143.5,drink,70
pineapple orange juice,125,0.0,0.0,0.0,0.0,29500.0,29000.0,3300.0,300.0,0.0,69.0,217300.0,0.0,0.035,0.046,0.0,0.02,0.5,0.1,0.1,56.3,0.0,0.079,0.085,12.5,0.7,15.0,10.0,115.0,0.2,102.6,drink,71
pear nectar,150,62.0,32.0,86.0,38.0,39400.0,0.0,300.0,1500.0,0.0,56.0,210000.0,0.0,0.0,0.032,0.049,0.0,0.033,0.3,0.087,0.017,67.5,0.0,0.0,0.0,0.2,0.7,0.041,7.5,0.065,41.466,drink,72
blackberry juice,95,1500.0,95.0,100.0,900.0,19500.0,19300.0,800.0,300.0,0.0,72.0,227300.0,0.0,0.076,0.091,0.0,0.053,1.1,0.0,0.075,28.3,0.0,2.3,0.088,30.0,1.2,52.5,30.0,337.5,1.0,81.6,drink,73
lemon juice,54,600.0,60.0,73.0,38.0,16600.0,6100.0,900.0,700.0,0.0,46.0,225200.0,0.0,0.0,0.015,0.093,0.0,0.084,0.2,0.2,0.1,94.4,0.0,0.4,0.0,0.073,0.2,0.091,19.5,0.09,18.9,drink,74
cranberry grape juice,137,200.0,53.0,92.0,80.0,34300.0,0.0,500.0,200.0,0.0,79.0,209700.0,0.0,0.094,0.09,0.0,0.056,0.3,0.1,0.027,78.4,0.0,0.0,0.0,19.6,0.04,7.4,9.8,58.8,0.055,133.2,drink,75
citrus fruit juice,114,57.0,88.0,48.0,85.0,28300.0,20200.0,800.0,200.0,0.0,51.0,217800.0,0.0,0.043,0.021,0.0,0.096,0.2,0.2,0.054,67.2,0.0,0.1,0.042,22.3,2.8,14.9,24.8,277.8,0.011,121.7,drink,76
prune juice,182,6.0,33.0,82.0,11.0,44700.0,42100.0,1600.0,2600.0,0.0,100.0,208000.0,0.0,0.038,0.0,0.0,0.2,2.0,0.3,0.6,10.5,0.0,0.3,0.007,30.7,3.0,35.8,64.0,706.6,0.5,93.105,drink,77
