food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Kanpyo,258.0,560.0,50.0,100.0,240.0,65000.0,0.0,8600.0,9800.0,0.0,15.0,0.0,0.0,0.061,0.0,0.04,2.9,2.6,0.53,0.2,0.0,0.0,0.0,280.0,5.1000000000000005,0.43,125.0,1.1,188.0,1582.0,0.0026,5.9,Vegetables
Kohlrabi,27.0,100.0,10.0,10.0,50.0,6200.0,2600.0,1700.0,3600.0,0.0,20.0,0.0107999999999999,0.05,0.016,0.0,0.02,0.4,0.17,0.15,62.0,0.0,0.48,0.0001,24.0,0.4,0.1299999999999999,19.0,0.1399999999999999,46.0,350.0,0.0007,0.03,Vegetables
Lotus root,74.0,100.0,30.0,20.0,20.0,17000.0,0.0,2600.0,4900.0,0.0,40.0,0.0,0.16,0.013,0.0,0.22,0.4,0.38,0.2599999999999999,44.0,0.0,0.0,0.0,45.0,1.2,0.2599999999999999,23.0,0.2599999999999999,100.0,556.0,0.0007,0.39,Vegetables
Red leaf lettuce,16.0,220.0,20.0,10.0,70.0,2300.0,480.0,1300.0,900.0,0.0,25.0,2.2476,0.06,0.036,0.0,0.08,0.32,0.1399999999999999,0.1,3.7,0.0,0.15,0.1399999999999999,33.0,1.2,0.03,12.0,0.2,28.0,187.0,0.0015,0.2,Vegetables
Okra,33.0,190.0,30.0,20.0,30.0,7500.0,1500.0,1900.0,3200.0,0.0,7.0,0.2148,0.2,0.06,0.0,0.06,1.0,0.25,0.22,23.0,0.0,0.27,0.031,82.0,0.62,0.11,57.0,0.79,61.0,299.0,0.0007,0.58,Vegetables
Onion,40.0,100.0,40.0,10.0,20.0,9300.0,4200.0,1100.0,1700.0,0.0,4.0,0.0006,0.05,0.019,0.0,0.03,0.12,0.12,0.12,7.4,0.0,0.02,0.0003999999999999,23.0,0.21,0.04,10.0,0.1299999999999999,29.0,146.0,0.0005,0.17,Vegetables
Sweet onion,32.0,80.0,0.0,0.0,0.0,7600.0,5000.0,800.0,900.0,0.0,8.0,0.0003,0.04,0.023,0.0,0.02,0.1299999999999999,0.1,0.1299999999999999,4.8,0.0,0.02,0.0003,20.0,0.2599999999999999,0.06,9.0,0.08,27.0,119.0,0.0005,0.1299999999999999,Vegetables
Onion rings,276.0,14000.0,2100.0,3000.0,7600.0,34000.0,5100.0,4100.0,2200.0,0.0,370.0,0.0,0.19,0.033,0.0,0.12,1.3,0.29,0.12,1.6,0.0,0.46,0.034,31.0,1.3,0.0699999999999999,17.0,0.35,71.0,123.0,0.0056,0.42,Vegetables
Parsnip,75.0,300.0,50.0,110.0,50.0,18000.0,4800.0,1200.0,4900.0,0.0,10.0,0.0,0.09,0.067,0.0,0.05,0.7,0.6,0.09,17.0,0.0,1.5,0.023,36.0,0.5900000000000001,0.12,29.0,0.5599999999999999,71.0,375.0,0.0018,0.5900000000000001,Vegetables
Pea,84.0,220.0,40.0,20.0,100.0,16000.0,5900.0,5400.0,5500.0,0.0,3.0,0.2402999999999999,0.2599999999999999,0.063,0.0,0.15,2.0,153.0,0.22,14.0,0.0,0.1399999999999999,0.026,27.0,1.5,0.17,39.0,0.53,117.0,271.0,0.0019,1.2,Vegetables
